,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence
87978,0.163,0.825,149078,0.373,1,0.0,5,0.368,-5.532,0,84,0.108,77.271,0.12
87981,0.17,0.836,206702,0.617,1,0.0,0,0.319,-4.363,1,83,0.0534,138.066,0.866
87985,0.3,0.806,212867,0.546,0,0.0,9,0.102,-6.637,1,88,0.0575,147.986,0.874
88030,0.289,0.83,247059,0.49,1,3.04e-06,1,0.113,-8.82,0,87,0.209,81.604,0.845
97738,0.167,0.73,221820,0.729,0,1.39e-06,4,0.349,-3.434,0,90,0.0886,113.012,0.467
97742,0.0125,0.794,183290,0.793,0,0.0,11,0.0952,-4.521,0,89,0.0842,123.941,0.677
97758,0.423,0.543,204805,0.766,1,0.0,0,0.155,-3.387,0,79,0.343,106.869,0.729
97762,0.0128,0.718,189176,0.706,1,0.0,1,0.352,-5.709,1,79,0.06,170.004,0.815
97772,0.201,0.864,192932,0.477,1,0.0,10,0.182,-5.786,1,79,0.224,86.46,0.5
97784,0.281,0.812,237946,0.506,1,0.0,5,0.325,-7.706,0,78,0.116,145.074,0.554
97818,0.0137,0.647,193829,0.844,0,0.000658,0,0.102,-3.756,1,85,0.0457,146.962,0.746
97830,0.538,0.825,219933,0.483,0,1.48e-05,8,0.204,-5.746,0,80,0.08,139.98,0.892
97835,0.107,0.81,315346,0.566,1,0.0,5,0.122,-8.33,1,76,0.433,142.069,0.582
116643,0.482,0.473,222929,0.824,1,0.0,7,0.605,-3.68,0,74,0.163,77.888,0.374
116690,0.0533,0.695,203808,0.883,0,0.0,6,0.213,-2.286,0,80,0.0778,103.014,0.907
116721,0.28,0.551,271184,0.57,1,0.0,1,0.424,-7.385,0,73,0.351,85.687,0.505
126156,0.517,0.866,197973,0.53,0,0.00159,0,0.0946,-6.347,0,77,0.0495,104.952,0.203
126185,0.133,0.469,209583,0.785,0,1.63e-06,5,0.0931,-4.015,0,77,0.0664,89.716,0.79
126203,0.0325,0.627,208505,0.69,0,0.0,10,0.0742,-5.396,0,79,0.138,122.054,0.628
126208,0.263,0.648,200773,0.681,0,0.00783,2,0.0971,-8.389,0,76,0.0378,157.941,0.767
126214,4.95e-05,0.661,436054,0.909,0,0.193,7,0.504,-6.148,1,57,0.0477,125.011,0.679
135443,0.0311,0.906,194607,0.474,0,5.41e-06,1,0.286,-6.124,1,78,0.194,106.977,0.654
135446,0.345,0.676,208520,0.506,0,0.0,9,0.118,-6.652,0,80,0.0958,145.842,0.497
135468,0.000189,0.696,179744,0.853,0,0.618,11,0.132,-4.746,0,33,0.0387,117.97,0.674
135469,0.167,0.73,221820,0.729,0,1.39e-06,4,0.349,-3.434,0,35,0.0883,113.013,0.467
135471,0.167,0.73,221820,0.729,0,1.39e-06,4,0.349,-3.434,0,31,0.0883,113.013,0.467
144232,0.483,0.661,222009,0.523,0,0.0,8,0.469,-5.902,1,73,0.0381,122.948,0.536
144274,0.226,0.83,205636,0.625,1,0.0,5,0.302,-3.678,1,69,0.0573,138.046,0.884
152801,0.106,0.79,314761,0.566,1,0.0,5,0.119,-8.33,1,69,0.437,142.016,0.586
152826,0.00173,0.66,258004,0.668,0,2.85e-05,11,0.1,-4.668,0,77,0.0339,115.984,0.468
152829,0.0137,0.647,193829,0.844,0,0.000658,0,0.102,-3.756,1,83,0.0457,146.962,0.746
152876,0.138,0.727,218754,0.701,1,0.000191,5,0.168,-5.001,1,75,0.074,94.027,0.653
161419,0.00618,0.875,184882,0.813,0,0.0,7,0.321,-4.502,1,75,0.0578,114.993,0.859
161420,0.52,0.764,168200,0.443,0,1.96e-05,4,0.0749,-6.625,1,73,0.0439,138.999,0.63
161437,0.0492,0.832,185427,0.508,0,5.39e-05,6,0.107,-6.913,0,71,0.149,109.352,0.75
169885,0.809,0.566,136907,0.438,0,0.0,0,0.212,-7.564,0,72,0.0367,117.127,0.692
